id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Кабанова;Immanuel_40@gmail.com;modular Бетонный ул.;2023-05-30T09:04:24;51073;32002
2;Frances;Яковлев;Harmon.97@gmail.com;Маленький Ставропольский Невероятный;2023-05-29T18:38:05;71090;65309
3;Laurence;Шарапов;Everette.@yandex.ru;кросс-платформенный;2023-05-30T10:05:43;90426;52820
4;Reuben;Никифорова;Eriberto54@hotmail.com;страховой Berkshire Пластиковый;2023-05-30T09:00:37;20289;35290
5;Marcelina;Королева;Madaline.@yahoo.com;коммуникационный Бетонный Account;2023-05-30T07:59:52;72993;41375
6;Destini;Фомичев;Zaria.@mail.ru;оптимизационный;2023-05-30T04:54:30;422;8893
7;June;Чернова;Keith3@hotmail.com;Uruguayo;2023-05-30T01:26:00;16398;79591
8;Louvenia;Сергеева;Dean_0@ya.ru;багровый Secured Ножницы;2023-05-29T22:17:29;3392;62485
9;Laurence;Зайцев;Erick.@hotmail.com;reinvent deposit;2023-05-29T20:48:39;93711;52100
10;Cathy;Мясников;Westley.@gmail.com;ул.;2023-05-29T23:20:34;39718;32719
